prompt,response,value
Hello.,"Hello, how may I assist you?",1
The cat is on the mat.,"Ah, a classic phrase often used to demonstrate basic sentence structure and syntax! ""The cat is on the mat"" is a simple statement describing the location of a cat. It consists of a subject (""the cat""), a verb (""is""), and a prepositional phrase indicating location (""on the mat""). It's often used in language learning exercises because it's short, clear, and demonstrates basic grammatical principles.",1
The quick brown fox jumps over the lazy dog.,"""The quick brown fox jumps over the lazy dog"" is another classic example often used to showcase the use of all the letters in the English alphabet. It's known as a pangram—a sentence that contains every letter of the alphabet at least once. This particular sentence is also memorable for its vivid imagery of a fox jumping over a lazy dog, making it popular for testing fonts and typing speed, among other things.",1
1 + 1,1 + 1 equals 2.,1
Tell me about Durham University?,"Durham University, located in Durham, England, is one of the oldest and most prestigious universities in the United Kingdom. Here are some key points about Durham University:

History: Founded in 1832, Durham University has a rich history dating back to medieval times. Its original foundation dates back to 1096 when it was established as Durham Cathedral Priory.
Collegiate System: Durham University operates a collegiate system, similar to Oxford and Cambridge. There are 16 colleges in total, each with its own unique character and facilities. The colleges provide accommodation, social spaces, and academic support for students.
Academic Reputation: Durham University is highly regarded for its academic excellence. It consistently ranks among the top universities in the UK and globally, particularly in fields such as law, engineering, sciences, and humanities.
Campus: The university's main campus is situated in the historic city of Durham, renowned for its stunning architecture and picturesque setting along the River Wear. Additionally, the university has a second campus in Stockton-on-Tees, known as Queen's Campus, which houses the School of Medicine, Pharmacy, and Health.
Research: Durham University is a leading research institution, undertaking groundbreaking research across various disciplines. It is home to numerous research centers and institutes focusing on areas such as astronomy, climate change, cybersecurity, and theology.
Student Life: Durham offers a vibrant student experience with a wide range of societies, clubs, and activities catering to diverse interests. The collegiate system fosters a strong sense of community, and students are actively involved in sports, arts, volunteering, and social events.
International Outlook: The university has a diverse student body and maintains strong international partnerships with institutions worldwide. It offers various opportunities for international exchange and study abroad programs, enriching the academic experience for students.
Overall, Durham University is renowned for its academic excellence, rich history, beautiful campus, and vibrant student life, making it an attractive choice for students seeking a world-class education in the UK.",1
What is the Capital of France?,"The capital of France is Paris. Paris is not only the political capital of France but also its cultural, economic, and commercial center. It is famous for its iconic landmarks such as the Eiffel Tower, the Louvre Museum, Notre-Dame Cathedral, and the Champs-Élysées. Paris is also known for its rich history, art, cuisine, and fashion, making it one of the most visited cities in the world.",1
Who is William Shakespeare?,"William Shakespeare (1564–1616) was an English playwright, poet, and actor, widely regarded as one of the greatest writers in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". Shakespeare's works, including collaborations, consist of approximately 39 plays, 154 sonnets, two long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. His plays are still widely studied, performed, and reinterpreted across diverse cultural and political contexts. Some of his most famous works include ""Romeo and Juliet,"" ""Hamlet,"" ""Macbeth,"" ""Othello,"" and ""King Lear,"" among many others.",1
When was World War II? ,"World War II occurred from 1939 to 1945. It was a global conflict that involved most of the world's nations, including all of the great powers, organized into two opposing military alliances: the Allies and the Axis powers. The war is generally considered to have begun on September 1, 1939, when Germany, under Adolf Hitler, invaded Poland. The conflict ended with the unconditional surrender of the Axis powers, starting with the German surrender on May 8, 1945 (known as Victory in Europe Day or VE Day), followed by the surrender of Japan on September 2, 1945 (known as Victory over Japan Day or VJ Day), after the dropping of atomic bombs on Hiroshima and Nagasaki by the United States.",1
Who won the first football World Cup?,"The first football (soccer) World Cup was won by the national team of Uruguay. The tournament took place in 1930, and Uruguay emerged as the champions by defeating Argentina 4-2 in the final match, which was held at the Estadio Centenario in Montevideo, Uruguay, on July 30, 1930.",1
When was Beethoven born? ,"Ludwig van Beethoven, the famous German composer and pianist, was born on December 17, 1770, in Bonn, Electorate of Cologne (now in Germany).",1
What was Picasso famous for? ,"Pablo Picasso was a renowned Spanish painter, sculptor, printmaker, ceramicist, and stage designer, widely regarded as one of the most influential artists of the 20th century. He is best known for co-founding the Cubist movement and for his contributions to Surrealism, Symbolism, and other artistic styles. Picasso's work is characterized by its revolutionary approach to form, color, and perspective, as well as its exploration of various themes, including the human figure, still life, portraiture, and abstraction. Some of his most famous works include ""Guernica,"" ""Les Demoiselles d'Avignon,"" and ""The Weeping Woman."" Picasso's innovative techniques and prolific output have had a profound impact on the development of modern art.",1
When did the UK first go into lockdown due to Covid-19?,"The United Kingdom first went into lockdown due to COVID-19 in March 2020. The specific date varies slightly depending on the region within the UK:

- England: The first national lockdown was announced by Prime Minister Boris Johnson on March 23, 2020.
  
- Scotland: First Minister Nicola Sturgeon announced lockdown measures for Scotland on March 23, 2020, aligning with the UK-wide lockdown.

- Wales: Lockdown measures in Wales were announced by First Minister Mark Drakeford on March 23, 2020, in line with the UK-wide lockdown.

- Northern Ireland: First Minister Arlene Foster and Deputy First Minister Michelle O'Neill announced lockdown measures for Northern Ireland on March 23, 2020, in alignment with the UK-wide lockdown.

These lockdown measures included various restrictions on movement, social gatherings, and the closure of non-essential businesses in an effort to curb the spread of the coronavirus.",1
When did Lionel Messi win his first Ballon d’Or?,"Lionel Messi won his first Ballon d'Or award in 2009. He received this prestigious honor for his outstanding performances during the 2008-2009 football season, during which he played for Barcelona and helped lead the team to numerous victories, including winning the UEFA Champions League title. Messi's incredible talent and contributions to his team's success earned him the recognition as the best football player in the world for that year.",1
When did Cristiano Ronaldo win his first Ballon d'Or?,"Cristiano Ronaldo won his first Ballon d'Or award in 2008. He received this prestigious honor for his exceptional performances during the 2007-2008 football season while playing for Manchester United. Ronaldo's outstanding skills, goal-scoring prowess, and contributions to Manchester United's success, including winning the Premier League and the UEFA Champions League, led to him being recognized as the best football player in the world for that year.",1
Has Leonardo DiCaprio won an Oscar?,"Yes, Leonardo DiCaprio won an Oscar for Best Actor at the 88th Academy Awards in 2016. He won the award for his performance as Hugh Glass in the film ""The Revenant,"" directed by Alejandro González Iñárritu. This win marked DiCaprio's first Academy Award after several nominations throughout his career.",1
When did Taylor Swift release her first song?,"Taylor Swift released her first single, ""Tim McGraw,"" on June 19, 2006. It was the lead single from her self-titled debut album, ""Taylor Swift,"" which was released later that year on October 24, 2006.",1
When did the Korean War begin?,"The Korean War began on June 25, 1950, when North Korean forces invaded South Korea by crossing the 38th parallel, which served as the border between the two Koreas. This invasion marked the start of a conflict that lasted until July 27, 1953, when an armistice agreement was signed.",1
How did Alan Turing die?,"Alan Turing, the pioneering British mathematician, logician, cryptanalyst, and computer scientist, died on June 7, 1954. His death was ruled as suicide by cyanide poisoning. Turing died at the age of 41, and his death came as a result of the persecution he faced due to his homosexuality, which was illegal in the United Kingdom at that time. In 1952, Turing was convicted of ""gross indecency"" for his relationship with another man and was subjected to chemical castration as an alternative to imprisonment. The circumstances surrounding Turing's death have since been widely criticized, and he was posthumously pardoned by Queen Elizabeth II in 2013.",1
When was the Rubik's Cube invented?,"The Rubik's Cube was invented by Hungarian architect and professor Ernő Rubik. It was patented in Hungary in 1975, and later internationally in 1980. The Rubik's Cube gained immense popularity in the 1980s and has since become one of the best-selling puzzles in the world, with millions of units sold annually.",0
Did Hitler commit suicide?,"Yes, Adolf Hitler, the leader of Nazi Germany, committed suicide on April 30, 1945, in his underground bunker in Berlin. As Soviet forces closed in on the city during the Battle of Berlin, Hitler and his wife, Eva Braun, took their own lives to avoid capture. Hitler ingested cyanide, and Braun died by ingesting cyanide as well as shooting herself. Hitler's body was later discovered by his aides and was subsequently cremated.",0
